# label config run seed initialServers maxServers levels
repro_published Reactive 8 0 3 12 10
Reactive_worldcup_i1_s01 Reactive 3 1 1 12 10
Reactive_worldcup_i1_s02 Reactive 3 2 1 12 10
Reactive_worldcup_i1_s03 Reactive 3 3 1 12 10
Reactive_worldcup_i1_s04 Reactive 3 4 1 12 10
Reactive_worldcup_i1_s05 Reactive 3 5 1 12 10
Reactive_worldcup_i1_s06 Reactive 3 6 1 12 10
Reactive_worldcup_i1_s07 Reactive 3 7 1 12 10
Reactive_worldcup_i1_s08 Reactive 3 8 1 12 10
Reactive_worldcup_i1_s09 Reactive 3 9 1 12 10
Reactive_worldcup_i1_s10 Reactive 3 10 1 12 10
Reactive_worldcup_i3_s01 Reactive 3 1 3 12 10
Reactive_worldcup_i3_s02 Reactive 3 2 3 12 10
Reactive_worldcup_i3_s03 Reactive 3 3 3 12 10
Reactive_worldcup_i3_s04 Reactive 3 4 3 12 10
Reactive_worldcup_i3_s05 Reactive 3 5 3 12 10
Reactive_worldcup_i3_s06 Reactive 3 6 3 12 10
Reactive_worldcup_i3_s07 Reactive 3 7 3 12 10
Reactive_worldcup_i3_s08 Reactive 3 8 3 12 10
Reactive_worldcup_i3_s09 Reactive 3 9 3 12 10
Reactive_worldcup_i3_s10 Reactive 3 10 3 12 10
Reactive_clarknet_i1_s01 Reactive 8 1 1 12 10
Reactive_clarknet_i1_s02 Reactive 8 2 1 12 10
Reactive_clarknet_i1_s03 Reactive 8 3 1 12 10
Reactive_clarknet_i1_s04 Reactive 8 4 1 12 10
Reactive_clarknet_i1_s05 Reactive 8 5 1 12 10
Reactive_clarknet_i1_s06 Reactive 8 6 1 12 10
Reactive_clarknet_i1_s07 Reactive 8 7 1 12 10
Reactive_clarknet_i1_s08 Reactive 8 8 1 12 10
Reactive_clarknet_i1_s09 Reactive 8 9 1 12 10
Reactive_clarknet_i1_s10 Reactive 8 10 1 12 10
Reactive_clarknet_i3_s01 Reactive 8 1 3 12 10
Reactive_clarknet_i3_s02 Reactive 8 2 3 12 10
Reactive_clarknet_i3_s03 Reactive 8 3 3 12 10
Reactive_clarknet_i3_s04 Reactive 8 4 3 12 10
Reactive_clarknet_i3_s05 Reactive 8 5 3 12 10
Reactive_clarknet_i3_s06 Reactive 8 6 3 12 10
Reactive_clarknet_i3_s07 Reactive 8 7 3 12 10
Reactive_clarknet_i3_s08 Reactive 8 8 3 12 10
Reactive_clarknet_i3_s09 Reactive 8 9 3 12 10
Reactive_clarknet_i3_s10 Reactive 8 10 3 12 10
Reactive2_worldcup_i1_s01 Reactive2 3 1 1 12 10
Reactive2_worldcup_i1_s02 Reactive2 3 2 1 12 10
Reactive2_worldcup_i1_s03 Reactive2 3 3 1 12 10
Reactive2_worldcup_i1_s04 Reactive2 3 4 1 12 10
Reactive2_worldcup_i1_s05 Reactive2 3 5 1 12 10
Reactive2_worldcup_i1_s06 Reactive2 3 6 1 12 10
Reactive2_worldcup_i1_s07 Reactive2 3 7 1 12 10
Reactive2_worldcup_i1_s08 Reactive2 3 8 1 12 10
Reactive2_worldcup_i1_s09 Reactive2 3 9 1 12 10
Reactive2_worldcup_i1_s10 Reactive2 3 10 1 12 10
Reactive2_worldcup_i3_s01 Reactive2 3 1 3 12 10
Reactive2_worldcup_i3_s02 Reactive2 3 2 3 12 10
Reactive2_worldcup_i3_s03 Reactive2 3 3 3 12 10
Reactive2_worldcup_i3_s04 Reactive2 3 4 3 12 10
Reactive2_worldcup_i3_s05 Reactive2 3 5 3 12 10
Reactive2_worldcup_i3_s06 Reactive2 3 6 3 12 10
Reactive2_worldcup_i3_s07 Reactive2 3 7 3 12 10
Reactive2_worldcup_i3_s08 Reactive2 3 8 3 12 10
Reactive2_worldcup_i3_s09 Reactive2 3 9 3 12 10
Reactive2_worldcup_i3_s10 Reactive2 3 10 3 12 10
Reactive2_clarknet_i1_s01 Reactive2 8 1 1 12 10
Reactive2_clarknet_i1_s02 Reactive2 8 2 1 12 10
Reactive2_clarknet_i1_s03 Reactive2 8 3 1 12 10
Reactive2_clarknet_i1_s04 Reactive2 8 4 1 12 10
Reactive2_clarknet_i1_s05 Reactive2 8 5 1 12 10
Reactive2_clarknet_i1_s06 Reactive2 8 6 1 12 10
Reactive2_clarknet_i1_s07 Reactive2 8 7 1 12 10
Reactive2_clarknet_i1_s08 Reactive2 8 8 1 12 10
Reactive2_clarknet_i1_s09 Reactive2 8 9 1 12 10
Reactive2_clarknet_i1_s10 Reactive2 8 10 1 12 10
Reactive2_clarknet_i3_s01 Reactive2 8 1 3 12 10
Reactive2_clarknet_i3_s02 Reactive2 8 2 3 12 10
Reactive2_clarknet_i3_s03 Reactive2 8 3 3 12 10
Reactive2_clarknet_i3_s04 Reactive2 8 4 3 12 10
Reactive2_clarknet_i3_s05 Reactive2 8 5 3 12 10
Reactive2_clarknet_i3_s06 Reactive2 8 6 3 12 10
Reactive2_clarknet_i3_s07 Reactive2 8 7 3 12 10
Reactive2_clarknet_i3_s08 Reactive2 8 8 3 12 10
Reactive2_clarknet_i3_s09 Reactive2 8 9 3 12 10
Reactive2_clarknet_i3_s10 Reactive2 8 10 3 12 10
